<<<<<<< HEAD
Selection of zonal-annual-mean climate variables from ERA5 

 Reference for ERA5: Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N. (2023): ERA5 monthly averaged data on single levels from 1940 to present. Copernicus Climate Change Service (C3S) Climate Data Store (CDS), DOI: 10.24381/cds.f17050d7 (Accessed on 28-02-2024) 
 
Latitude	Surface Air Temperature (K)	Precipitation (kg m-2 s-1)	Snowfall (kg m-2 s-1)	Evaporation (kg m-2 s-1)	Incoming Shortwave Radiation TOA (W m-2)	Outgoing Shortwave Radiation TOA (W m-2)	Incoming Shortwave Radiation SFC (W m-2)	Outgoing Shortwave Radiation SFC (W m-2)	Outgoing Longwave Radiation TOA (W m-2)	Incoming Longwave Radiation SFC (W m-2)	Outgoing Longwave Radiation SFC (W m-2)
-90.0	226.75232257762949	1.9595641555269006e-06	1.9622142906226776e-06	8.315356577966524e-08	172.4016310595578	-122.59864855030197	129.37535585437212	108.14975359840626	-144.59558178156178	109.99793922659644	146.84576738583473
-89.75	226.95867169238272	1.930827215907915e-06	1.9358447508750885e-06	8.566205295698858e-08	172.40388519930417	-122.56507693066253	129.3651175159874	108.14311619141833	-144.9250705582652	110.21369380943288	147.5176185023499
-89.5	226.95987872908748	1.913500781619472e-06	1.9186495013122863e-06	8.952418943252387e-08	172.41386974869218	-122.57726295094487	129.37755169927166	108.15342321176847	-144.93117527289522	110.12622627839875	147.51886407256123
-89.25	226.8883884228061	1.85986897365883e-06	1.8654086145311672e-06	9.010882469384525e-08	172.43099081119746	-122.60246044906312	129.35224147354884	108.13321156887311	-144.85338296972745	109.94989849936682	147.409180230126
-89.0	226.75370407133212	1.8150737761601303e-06	1.820622436568208e-06	9.266590411463578e-08	172.45735164762417	-122.63353253804335	129.37045488840462	108.14876446379492	-144.66307042710247	109.68319931526732	147.07563653944163
-88.75	226.74606920973633	1.7463472678536971e-06	1.751843832157738e-06	9.675965980905194e-08	172.488989424208	-122.66139641649494	129.48320704267982	108.24131758166675	-144.60527677961926	109.44594856997784	147.09475753972782
-88.5	226.95704906539763	1.689388640428568e-06	1.6945925330309997e-06	1.0200106068464864e-07	172.52838874050818	-122.68496116644488	129.71775207276863	108.43317756402426	-144.80175514553065	109.30030023323468	147.70682838189236
-88.25	227.36886053054573	1.660639153903099e-06	1.6654978337315708e-06	1.0527973422316523e-07	172.57462233329804	-122.69915146259198	129.98462132450987	108.65163967032782	-145.22922682137514	109.31203401757926	148.83142078486486
-88.0	227.89582310926522	1.655535930059203e-06	1.6603174648625754e-06	1.043749947671592e-07	172.62762787640054	-122.69528923354454	130.11853344385437	108.76241869000889	-145.81157639143504	109.58445626260958	150.23693359517816
-87.75	228.448235316589	1.6658065490527006e-06	1.6705479940458014e-06	9.974959030627108e-08	172.68775574972173	-122.67122083503398	130.06990405420117	108.7252181600904	-146.4713929825405	110.12945085259376	151.7174809311576
-87.5	229.00993751389646	1.694962471845351e-06	1.6990279686521321e-06	9.244054434719352e-08	172.7553990063599	-122.63936166870931	130.0055906820412	108.67568889330992	-147.1559777551198	110.77601746425329	153.21661012730272
-87.25	229.58168211825148	1.7115980616273644e-06	1.7154161375337653e-06	8.286415764212467e-08	172.82979924024	-122.6087802610256	130.0738169342432	108.7344881679844	-147.83214325555517	111.35850616904133	154.70234639230796
-87.0	230.12696547955767	1.7205181789303397e-06	1.7246796390350004e-06	7.852800838576105e-08	172.91172325883178	-122.58589625640462	130.34232847262876	108.95663962273926	-148.45517554310703	111.80624283662482	156.09220261598304
-86.75	230.63163885374016	1.7044087385082048e-06	1.7084236308377766e-06	6.822484941996145e-08	173.00088662205175	-122.56959547590478	130.61374494341186	109.18159237596076	-148.95175433008217	112.26637085785151	157.1968202406782
