Selection of zonal-annual-mean climate variables from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	Surface Air Temperature (K)	Precipitation (kg m-2 s-1)	Snowfall (kg m-2 s-1)	Evaporation (kg m-2 s-1)	Incoming Shortwave Radiation TOA (W m-2)	Outgoing Shortwave Radiation TOA (W m-2)	Incoming Shortwave Radiation SFC (W m-2)	Outgoing Shortwave Radiation SFC (W m-2)	Outgoing Longwave Radiation TOA (W m-2)	Incoming Longwave Radiation SFC (W m-2)	Outgoing Longwave Radiation SFC (W m-2)	Sensible Heat Flux (W m-2)	Latent Heat Flux (W m-2)
-90.0	225.98776345443147	2.3391249505243425e-06	2.3305068781533216e-06	-1.0659963755692921e-07	172.44274295504323	125.49637023425537	132.60388292327772	111.29130582109025	140.46540601525675	102.15934401548435	145.13404954540857	-21.327581033839778	-0.3021779925892322
-89.05759162303664	225.621288893524	2.329634419200088e-06	2.3173653839861966e-06	-9.713060720984445e-08	172.49301562956478	125.61279677251248	132.18959138375985	111.006738563957	140.2331976047063	102.58957740298871	144.52689327835853	-20.444393020344066	-0.2753361323259329
-88.1151832460733	226.66926580625037	2.4342014944076025e-06	2.416031652031526e-06	-1.0135798680766729e-07	172.64391760320606	125.5461154045362	132.19232023553943	110.91544832498107	141.62838966280358	104.02718189561749	147.24668349105656	-21.61644601331574	-0.2873194853265718
-87.17277486910994	228.60713777571144	2.7212123312532284e-06	2.685317188334871e-06	-8.7905258654854e-08	172.89569252293586	125.25715305189472	131.87540474746052	110.43613259179408	144.21675833138883	107.2532079289638	152.56929509302978	-23.579936421770075	-0.24918503664655903
-86.2303664921466	230.68641409138024	3.198110028824561e-06	3.122956386703888e-06	9.846687436818413e-09	173.24874987641792	124.8158908064888	130.9088716316677	109.35919962794995	147.0894317582463	112.33159813814149	158.60238545063604	-24.709707680850222	0.027912404755423684
-85.28795811518324	233.25424989936923	3.637602230660062e-06	3.4986262946311168e-06	2.3568512656680964e-07	173.7036690775409	123.93856927475402	129.58634079428808	107.5959791522347	150.40441063672623	118.72712216706037	166.50444735292615	-26.4014124687164	0.6670055552569182
-84.3455497382199	235.25212722785577	3.592919724466791e-06	3.4279415640826863e-06	2.8825280985459603e-07	174.26121280341965	123.49984532006576	129.18675706466684	106.99727158746974	153.15498695203704	123.64424284110513	172.70481053869835	-27.599866679622842	0.8134908876869673
-83.40314136125654	236.05007094320823	3.5181636540341203e-06	3.3333507395513404e-06	1.791436758249985e-07	174.92233143101055	123.4266796742713	129.0029191392628	106.68554386211908	154.4944913055472	126.92465028295052	175.20545477999946	-26.401109360742137	0.503787270908093
-82.46073298429319	236.82449632971253	3.5241972232960734e-06	3.316762795273999e-06	8.929503449589605e-08	175.6881843368024	123.57906893318012	129.0280512789377	106.57034583056779	155.6106769646321	129.3399995918833	177.41645367411172	-25.87637644287433	0.24943448639194965
-81.51832460732984	237.106716907928	3.5985539868609547e-06	3.379695623832135e-06	7.050712698218587e-08	176.5601509451095	123.73995616030862	129.41679360553192	106.58980847655774	156.17568466471755	130.9298142022593	178.29986948336278	-24.846799013178863	0.19632753784928736
