zonal-annual-mean cloud cover from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	Cloud Cover	Cloud Cover (Land)	Cloud Cover (Ocean)
-90.0	65.01	65.01	
-89.05759162303664	65.27	65.27	
-88.1151832460733	63.7	63.7	
-87.17277486910994	61.24	61.24	
-86.2303664921466	59.27	59.27	
-85.28795811518324	58.63	58.63	
-84.3455497382199	57.82	57.82	
-83.40314136125654	57.67	57.67	
-82.46073298429319	57.97	57.97	
-81.51832460732984	58.68	58.68	
-80.57591623036649	59.53	59.53	
-79.63350785340315	60.16	60.16	
-78.69109947643979	60.51	60.51	
-77.74869109947645	61.43	60.38	71.19
-76.80628272251309	62.09	60.74	67.94
-75.86387434554973	62.36	60.27	69.85
-74.92146596858639	62.81	59.57	71.94
-73.97905759162303	63.7	58.72	74.16
-73.03664921465969	65.08	58.27	76.4
-72.09424083769633	66.75	57.99	78.3
-71.15183246073298	69.2	59.31	79.37
-70.20942408376963	72.23	61.31	79.71
-69.26701570680629	75.16	62.06	81.77
-68.32460732984293	78.15	64.11	83.84
-67.38219895287958	80.96	68.4	84.63
-66.43979057591623	83.62	70.97	85.2
-65.49738219895288	86.03	85.31	86.04
-64.55497382198953	88.58	87.59	88.59
-63.61256544502618	90.11	83.66	90.15
-62.67015706806283	90.88		90.88
-61.72774869109948	91.25		91.25
-60.78534031413612	91.35		91.35
-59.84293193717278	91.31		91.31
-58.90052356020942	91.24		91.24
-57.95811518324607	91.1		91.1
-57.01570680628272	90.9		90.9
-56.07329842931937	90.62		90.62
-55.13089005235602	90.18	91.73	90.17
-54.18848167539267	89.51	88.85	89.52
-53.24607329842932	88.74	86.2	88.78
-52.303664921465966	88.03	84.8	88.07
-51.361256544502616	87.3	81.76	87.44
-50.41884816753927	86.61	81.25	86.72
-49.47643979057592	85.84	76.64	86.03
-48.53403141361257	85.01	73.38	85.3
-47.59162303664922	84.03	70.01	84.43
-46.64921465968587	83.01	69.58	83.35
-45.70680628272251	81.96	72.42	82.29
-44.76439790575916	80.91	69.38	81.32
-43.82198952879581	79.77	65.36	80.23
-42.87958115183246	78.6	66.16	79.03
-41.93717277486911	77.35	66.54	77.8
-40.99476439790576	75.76	61.42	76.41
-40.05235602094241	73.96	53.47	74.77
-39.109947643979055	72.14	53.17	73.04
-38.167539267015705	70.11	55.77	71.3
-37.225130890052355	67.83	52.7	68.99
-36.282722513089006	65.58	49.89	66.86
-35.340314136125656	63.3	47.23	64.7
-34.397905759162306	61.1	48.29	62.65
