zonal-monthly-mean surface air temperature from ERA5 

Reference for ERA5: Hersbach, H., Bell, B., Berrisford, P., Biavati, G., Horányi, A., Muñoz Sabater, J., Nicolas, J., Peubey, C., Radu, R., Rozum, I., Schepers, D., Simmons, A., Soci, C., Dee, D., Thépaut, J-N. (2023): ERA5 monthly averaged data on single levels from 1940 to present. Copernicus Climate Change Service (C3S) Climate Data Store (CDS), DOI: 10.24381/cds.f17050d7 (Accessed on 28-02-2024) 
 
Latitude	0	1	2	3	4	5	6	7	8	9	10	11
-90.0	243.88	235.02	224.14	220.56	220.14	219.05	217.25	217.33	218.05	225.63	236.32	243.95
-89.75	244.03	235.21	224.39	220.86	220.39	219.33	217.49	217.56	218.27	225.81	236.43	244.05
-89.5	243.92	235.18	224.49	220.93	220.48	219.38	217.53	217.57	218.36	225.75	236.32	243.92
-89.25	243.85	235.12	224.45	220.84	220.45	219.29	217.44	217.47	218.33	225.66	236.23	243.84
-89.0	243.75	234.97	224.33	220.71	220.36	219.13	217.28	217.31	218.25	225.48	236.04	243.75
-88.75	243.68	234.92	224.34	220.72	220.42	219.14	217.29	217.31	218.32	225.47	235.96	243.68
-88.5	243.73	235.05	224.58	221.0	220.74	219.43	217.59	217.56	218.64	225.7	236.06	243.71
-88.25	243.93	235.35	225.04	221.51	221.27	219.97	218.11	218.04	219.17	226.13	236.32	243.89
-88.0	244.24	235.78	225.62	222.14	221.91	220.63	218.73	218.64	219.8	226.67	236.7	244.18
-87.75	244.61	236.26	226.22	222.77	222.54	221.3	219.37	219.25	220.42	227.25	237.14	244.53
-87.5	245.02	236.77	226.83	223.4	223.16	221.97	220.0	219.86	221.04	227.83	237.61	244.92
-87.25	245.46	237.3	227.46	224.04	223.79	222.63	220.63	220.46	221.65	228.41	238.1	245.34
-87.0	245.87	237.8	228.07	224.66	224.38	223.26	221.24	221.04	222.24	228.96	238.56	245.74
-86.75	246.29	238.29	228.61	225.2	224.91	223.82	221.77	221.56	222.76	229.47	239.02	246.16
-86.5	246.71	238.78	229.17	225.75	225.45	224.38	222.33	222.08	223.29	229.97	239.47	246.57
-86.25	247.08	239.25	229.72	226.27	225.93	224.88	222.8	222.51	223.71	230.36	239.83	246.9
-86.0	247.5	239.78	230.33	226.87	226.48	225.44	223.35	223.0	224.19	230.8	240.23	247.27
