Multi-Model LGM-PI SAT reconstruction 
Global Mean: -4.46C 
Reference:Annan, J. D., Hargreaves, J. C., and Mauritsen, T.: A new global surface temperature reconstruction for the Last Glacial Maximum, Clim. Past, 18, 1883–1896, https://doi.org/10.5194/cp-18-1883-2022, 2022. 

lat	multi_model_mean	multi_model_max	multi_model_min
-89.0	-12.714421	-8.26019	-18.687075
-87.0	-12.694751	-8.405296	-18.620586
-85.0	-12.600033	-8.9232025	-17.605236
-83.0	-12.242638	-9.222185	-16.423197
-81.0	-10.908876	-7.9347053	-14.31403
-79.0	-9.508242	-6.803472	-12.16024
-77.0	-8.952755	-5.985106	-11.183615
-75.0	-7.73107	-4.2720785	-10.683362
-73.0	-6.963966	-3.052183	-10.246798
-71.0	-6.329689	-1.9570607	-10.28122
-69.0	-5.59164	0.07150913	-11.096291
-67.0	-5.1017013	1.3184509	-11.3341255
-65.0	-4.5755706	2.088611	-11.613487
-63.0	-4.1707635	2.085953	-11.682254
-61.0	-3.7151778	1.935464	-11.123395
-59.0	-3.3374212	1.6867143	-10.019885
-57.0	-3.0653923	1.3904704	-9.775443
-55.0	-2.942715	0.9834274	-8.964182
-53.0	-2.8084297	0.64272445	-8.024732
-51.0	-2.6165295	0.46023118	-7.053761
-49.0	-2.4968934	0.23713297	-6.2521343
-47.0	-2.4686399	-0.16316757	-5.6329517
-45.0	-2.456609	-0.39301652	-5.0693393
-43.0	-2.426237	-0.5957245	-4.568216
-41.0	-2.3655727	-0.744248	-4.149374
-39.0	-2.3169525	-0.8412179	-4.0284777
-37.0	-2.288672	-0.88917947	-3.8891363
-35.0	-2.2768393	-0.92772776	-3.8204706
-33.0	-2.2753417	-0.9807042	-3.7628005
-31.0	-2.2747924	-1.0326539	-3.7153242
-29.0	-2.2754166	-1.080228	-3.6696362
-27.0	-2.2784107	-1.1098692	-3.6145303
-25.0	-2.2919345	-1.1668155	-3.5942295
-23.0	-2.2823641	-1.1755102	-3.5656981
-21.0	-2.2516506	-1.1625528	-3.5386407
-19.0	-2.223852	-1.1593654	-3.5129073
-17.0	-2.242537	-1.2445024	-3.5069325
-15.0	-2.2671237	-1.3112442	-3.4933858
-13.0	-2.2656484	-1.2924334	-3.4454684
-11.0	-2.2945023	-1.3385396	-3.4273152
-9.0	-2.3390675	-1.3842475	-3.434874
-7.0	-2.3878129	-1.4475375	-3.4675043
-5.0	-2.4101708	-1.4799049	-3.5284905
-3.0	-2.4185362	-1.4925184	-3.6371517
-1.0	-2.4216566	-1.5256592	-3.6941729
1.0	-2.4674373	-1.5634257	-3.6963587
3.0	-2.5105784	-1.5910709	-3.6377935
5.0	-2.5478215	-1.6087534	-3.573993
7.0	-2.5880787	-1.626277	-3.5993998
9.0	-2.6387415	-1.6967729	-3.647676
11.0	-2.693593	-1.794652	-3.6497731
13.0	-2.7697616	-1.9007361	-3.7002804
15.0	-2.8563664	-2.081611	-3.8392622
17.0	-2.9544122	-2.1782603	-4.0024233
19.0	-3.0550163	-2.2383037	-4.1137214
21.0	-3.1602676	-2.3211634	-4.216707
23.0	-3.291129	-2.4431605	-4.357941
25.0	-3.441042	-2.6308901	-4.5149775
27.0	-3.6571093	-2.8713026	-4.7845545
29.0	-3.9620345	-3.178144	-5.3028383
31.0	-4.2647357	-3.4343688	-5.944299
33.0	-4.651003	-3.7482495	-6.433618
35.0	-5.2028975	-4.220915	-7.0563464
37.0	-5.8257933	-4.723905	-7.8483834
39.0	-6.5174036	-5.251727	-8.856954
41.0	-7.1773825	-5.7398634	-10.005457
43.0	-7.869819	-6.3170404	-11.046496
45.0	-8.544579	-6.971841	-12.006723
47.0	-9.386981	-7.6640224	-13.121752
49.0	-10.137563	-8.233181	-14.026225
51.0	-10.836034	-8.752024	-14.897523
53.0	-11.624247	-9.303329	-15.92084
55.0	-12.259039	-9.701369	-16.509256
57.0	-12.500979	-9.823333	-16.647455
59.0	-12.537417	-9.590608	-16.3803
61.0	-12.3657055	-9.144816	-15.9323
63.0	-12.076424	-8.600286	-15.468375
65.0	-11.5206175	-7.874319	-14.810644
67.0	-11.183238	-7.690644	-14.315629
69.0	-11.037211	-7.827197	-14.054996
71.0	-11.031713	-8.119793	-14.085408
73.0	-11.099079	-7.91705	-15.086266
75.0	-11.3460455	-7.867254	-15.444632
77.0	-11.915653	-7.620334	-16.142458
79.0	-11.686147	-6.569389	-16.34576
81.0	-10.525903	-4.686136	-15.670215
83.0	-8.926898	-2.6261125	-15.359372
85.0	-8.231717	-2.0562568	-16.636604
87.0	-7.9234934	-1.6780216	-17.945284
89.0	-7.384059	-1.2937907	-19.276615
