zonal-monthly-mean surface air temperature from NorESM2-MM CMIP6 pre-industrial control spin-up simulation [creation data: 2020-01-02T06:12:27Z] 

Reference for NorESM2: Seland, Ø., Bentsen, M., Olivié, D., Toniazzo, T., Gjermundsen, A., Graff, L. S., Debernard, J. B., Gupta, A. K., He, Y.-C., Kirkevåg, A., Schwinger, J., Tjiputra, J., Aas, K. S., Bethke, I., Fan, Y., Griesfeller, J., Grini, A., Guo, C., Ilicak, M., Karset, I. H. H., Landgren, O., Liakka, J., Moseid, K. O., Nummelin, A., Spensberger, C., Tang, H., Zhang, Z., Heinze, C., Iversen, T., and Schulz, M.: Overview of the Norwegian Earth System Model (NorESM2) and key climate response of CMIP6 DECK, historical, and scenario simulations, Geosci. Model Dev., 13, 6165–6200, https://doi.org/10.5194/gmd-13-6165-2020, 2020. 
 
Latitude	0	1	2	3	4	5	6	7	8	9	10	11
-90.0	244.69	235.21	222.22	218.78	217.92	217.01	218.06	217.38	218.63	224.24	234.11	244.0
-89.05759162303664	244.5	234.96	221.94	218.43	217.51	216.56	217.63	216.95	218.12	223.76	233.77	243.74
-88.1151832460733	244.96	235.75	223.31	219.87	218.86	217.84	218.89	218.13	219.41	224.76	234.51	244.14
-87.17277486910994	246.34	237.55	225.56	222.02	221.04	219.95	221.03	220.17	221.57	226.7	236.22	245.51
-86.2303664921466	248.08	239.63	227.97	224.17	223.28	222.15	223.15	222.25	223.75	228.75	238.23	247.23
-85.28795811518324	250.44	242.28	230.91	226.82	225.92	224.75	225.62	224.73	226.3	231.25	240.86	249.58
-84.3455497382199	252.41	244.47	233.31	228.93	227.99	226.71	227.39	226.51	228.1	233.11	243.01	251.53
-83.40314136125654	253.5	245.64	234.45	229.8	228.75	227.32	227.73	226.91	228.56	233.72	244.11	252.57
-82.46073298429319	254.33	246.52	235.51	230.8	229.58	228.05	228.18	227.45	229.19	234.42	244.98	253.37
-81.51832460732984	254.64	246.86	235.98	231.22	229.85	228.29	228.19	227.65	229.42	234.67	245.33	253.66
-80.57591623036649	254.72	246.87	236.01	231.15	229.61	228.03	227.84	227.44	229.29	234.58	245.34	253.73
-79.63350785340315	254.72	246.88	236.22	231.38	229.71	228.21	227.99	227.75	229.62	234.8	245.4	253.72
-78.69109947643979	254.7	246.98	236.79	232.01	230.19	228.82	228.56	228.49	230.33	235.32	245.57	253.7
-77.74869109947645	254.8	247.41	237.83	233.07	231.15	229.86	229.63	229.7	231.51	236.27	246.09	253.83
-76.80628272251309	255.38	248.43	239.32	234.43	232.42	231.21	230.93	231.14	232.85	237.56	247.01	254.42
-75.86387434554973	256.39	249.86	241.25	236.16	234.03	232.83	232.5	232.76	234.37	239.12	248.23	255.47
-74.92146596858639	257.67	251.67	243.59	238.26	235.84	234.62	234.16	234.51	236.14	240.89	249.7	256.74
-73.97905759162303	258.77	253.35	245.79	240.36	237.54	236.25	235.6	236.04	237.77	242.45	251.01	257.78
-73.03664921465969	260.27	255.42	248.48	243.04	239.82	238.35	237.55	238.04	239.82	244.45	252.72	259.15
-72.09424083769633	262.03	257.82	251.64	246.36	242.79	241.06	240.12	240.57	242.35	246.89	254.75	260.81
-71.15183246073298	263.98	260.32	254.92	250.05	246.33	244.25	243.08	243.52	245.27	249.69	257.07	262.7
-70.20942408376963	265.71	262.67	258.0	253.47	249.75	247.46	245.98	246.45	248.12	252.43	259.27	264.38
-69.26701570680629	267.42	264.98	261.0	256.84	253.16	250.72	248.91	249.3	250.91	255.08	261.39	266.03
-68.32460732984293	269.26	267.31	263.92	260.27	256.8	254.39	252.38	252.57	254.0	257.97	263.8	267.93
-67.38219895287958	271.09	269.65	266.78	263.58	260.37	258.14	256.16	256.1	257.28	260.98	266.18	269.81
-66.43979057591623	272.58	271.68	269.24	266.26	263.29	261.19	259.34	259.08	259.99	263.42	268.07	271.29
-65.49738219895288	273.74	273.38	271.47	268.72	265.67	263.5	261.83	261.5	262.27	265.4	269.48	272.32
-64.55497382198953	274.52	274.46	273.02	270.86	268.21	266.0	264.36	263.94	264.65	267.4	270.73	273.08
-63.61256544502618	275.14	275.23	274.07	272.36	270.35	268.49	266.95	266.31	266.92	269.12	271.68	273.67
-62.67015706806283	275.66	275.83	274.81	273.36	271.71	270.17	268.81	268.05	268.57	270.34	272.39	274.18
-61.72774869109948	276.09	276.31	275.4	274.1	272.65	271.35	270.13	269.36	269.8	271.27	272.98	274.62
-60.78534031413612	276.47	276.73	275.9	274.71	273.41	272.29	271.23	270.45	270.83	272.05	273.51	275.03
-59.84293193717278	276.85	277.13	276.37	275.27	274.07	273.06	272.17	271.43	271.75	272.77	274.04	275.46
-58.90052356020942	277.22	277.52	276.82	275.79	274.68	273.76	273.0	272.33	272.6	273.45	274.58	275.9
-57.95811518324607	277.57	277.88	277.26	276.3	275.25	274.39	273.74	273.16	273.39	274.11	275.12	276.34
-57.01570680628272	277.92	278.25	277.7	276.81	275.81	275.0	274.42	273.93	274.12	274.74	275.64	276.77
-56.07329842931937	278.26	278.6	278.13	277.3	276.34	275.56	275.03	274.6	274.77	275.33	276.14	277.19
-55.13089005235602	278.58	278.93	278.51	277.72	276.79	276.03	275.53	275.14	275.31	275.84	276.6	277.58
-54.18848167539267	278.93	279.29	278.92	278.16	277.24	276.5	276.02	275.66	275.82	276.35	277.08	278.0
-53.24607329842932	279.33	279.69	279.36	278.63	277.73	277.01	276.53	276.2	276.36	276.86	277.57	278.45
-52.303664921465966	279.73	280.09	279.8	279.09	278.2	277.48	276.99	276.69	276.85	277.34	278.04	278.9
-51.361256544502616	280.23	280.6	280.34	279.64	278.76	278.03	277.52	277.24	277.4	277.89	278.6	279.44
-50.41884816753927	280.69	281.05	280.82	280.14	279.26	278.54	278.0	277.73	277.88	278.37	279.08	279.93
-49.47643979057592	281.28	281.64	281.42	280.74	279.85	279.12	278.56	278.31	278.48	278.98	279.7	280.55
-48.53403141361257	281.82	282.18	281.97	281.28	280.37	279.64	279.05	278.83	279.0	279.5	280.24	281.1
-47.59162303664922	282.44	282.81	282.59	281.89	280.97	280.22	279.6	279.39	279.57	280.07	280.83	281.71
-46.64921465968587	283.1	283.49	283.26	282.54	281.6	280.83	280.16	279.98	280.15	280.64	281.43	282.35
-45.70680628272251	283.71	284.12	283.88	283.12	282.17	281.38	280.67	280.5	280.68	281.18	281.99	282.95
-44.76439790575916	284.48	284.9	284.64	283.84	282.87	282.06	281.33	281.17	281.34	281.85	282.68	283.69
-43.82198952879581	285.22	285.65	285.35	284.53	283.55	282.72	281.96	281.82	281.97	282.5	283.34	284.39
-42.87958115183246	285.93	286.37	286.04	285.19	284.2	283.35	282.57	282.44	282.57	283.1	283.97	285.06
-41.93717277486911	286.68	287.15	286.79	285.9	284.88	283.99	283.2	283.07	283.18	283.72	284.61	285.76
-40.99476439790576	287.48	287.98	287.62	286.67	285.61	284.66	283.86	283.71	283.82	284.37	285.28	286.49
-40.05235602094241	288.2	288.73	288.36	287.34	286.21	285.21	284.4	284.26	284.37	284.93	285.88	287.14
-39.109947643979055	288.91	289.45	289.06	287.96	286.77	285.71	284.89	284.74	284.88	285.45	286.44	287.76
-38.167539267015705	289.63	290.17	289.73	288.54	287.25	286.13	285.3	285.15	285.33	285.94	286.98	288.38
-37.225130890052355	290.47	290.97	290.48	289.18	287.81	286.61	285.77	285.61	285.82	286.48	287.58	289.08
-36.282722513089006	291.19	291.67	291.14	289.78	288.34	287.07	286.21	286.05	286.29	286.98	288.14	289.71
-35.340314136125656	291.88	292.34	291.77	290.34	288.82	287.5	286.63	286.47	286.72	287.46	288.67	290.31
-34.397905759162306	292.55	292.98	292.34	290.84	289.25	287.86	286.98	286.84	287.13	287.94	289.21	290.93
-33.455497382198956	293.2	293.58	292.87	291.28	289.59	288.12	287.25	287.15	287.51	288.39	289.75	291.54
-32.5130890052356	293.84	294.17	293.41	291.74	289.95	288.41	287.55	287.49	287.93	288.91	290.35	292.16
-31.57068062827225	294.48	294.77	293.95	292.2	290.32	288.71	287.85	287.86	288.38	289.46	290.97	292.81
-30.6282722513089	295.09	295.36	294.52	292.73	290.78	289.12	288.27	288.32	288.93	290.08	291.63	293.45
-29.68586387434555	295.52	295.79	294.95	293.17	291.18	289.5	288.64	288.73	289.38	290.58	292.15	293.93
-28.7434554973822	295.9	296.18	295.37	293.61	291.58	289.88	289.02	289.15	289.85	291.08	292.65	294.37
-27.80104712041885	296.21	296.51	295.74	294.03	291.98	290.26	289.39	289.56	290.31	291.57	293.11	294.77
-26.8586387434555	296.46	296.77	296.06	294.4	292.36	290.63	289.76	289.94	290.73	292.0	293.52	295.11
-25.916230366492144	296.73	297.06	296.41	294.8	292.78	291.06	290.17	290.38	291.2	292.49	293.97	295.48
-24.9738219895288	296.98	297.33	296.74	295.2	293.21	291.49	290.6	290.83	291.7	293.0	294.43	295.84
-24.031413612565444	297.23	297.57	297.06	295.6	293.64	291.93	291.04	291.3	292.22	293.51	294.88	296.2
-23.0890052356021	297.36	297.7	297.27	295.94	294.04	292.36	291.47	291.75	292.71	293.97	295.26	296.43
-22.146596858638745	297.45	297.78	297.45	296.23	294.39	292.74	291.87	292.16	293.14	294.37	295.57	296.61
